class,scientific,english
Mammalia,Alouatta belzebul,"Red-handed Howler Monkey, Red-handed Howling Monkey"
Mammalia,Alouatta caraya,"Black-and-gold Howler Monkey, Black Howler Monkey, Black Howling Monkey"
Mammalia,Alouatta discolor,"Spix's Red-handed Howler Monkey, Red-handed Howling Monkey"
Mammalia,Alouatta guariba,"Brown Howler Monkey, Brown Howling Monkey, Southern Brown Howling Monkey"
Mammalia,Alouatta guariba,"Southern Brown Howler Monkey, Southern Brown Howling Monkey"
Mammalia,Alouatta guariba,"Northern Brown Howler Monkey, Northern Brown Howling Monkey"
Mammalia,Alouatta juara,"Juruá Red Howler Monkey, Juruá Red Howling Monkey"
Mammalia,Alouatta macconnelli,"Guianan Red Howler Monkey, Trinidad Howling Monkey"
Mammalia,Alouatta nigerrima,Black Howler Monkey
Mammalia,Alouatta palliata,"Mantled Howler Monkey, Ecuadorian Mantled Howling Monkey, South Pacific Blackish Howling Monkey"
Mammalia,Alouatta palliata,"Ecuadorian Mantled Howler Monkey, Ecuadorian Mantled Howling Monkey, South Pacific Blackish Howler Monkey, South Pacific Blackish Howling Monkey"
Mammalia,Alouatta palliata,"Coiba Island Howler Monkey, Coiba Island Howling Monkey"
Mammalia,Alouatta palliata,"Mexican Howler Monkey, Mexican Howling Monkey"
Mammalia,Alouatta palliata,"Golden Mantled Howler Monkey, Golden-mantled Howling Monkey"
Mammalia,Alouatta palliata,"Azuero Howler Monkey, Azuero Howling Monkey, Golden Howling Monkey"
Mammalia,Alouatta pigra,"Yucatán Black Howler Monkey, Black Howling Monkey, Guatemalan Black Howler Monkey, Guatemalan Howler, Guatemalan Howling Monkey, Lawrenceâ€™s Howler Monkey, Mexican Black Howler Monkey"
Mammalia,Alouatta puruensis,Purús Red Howler Monkey
Mammalia,Alouatta sara,"Bolivian Red Howler Monkey, Bolivian Red Howler, Bolivian Red Howling Monkey"
Mammalia,Alouatta seniculus,"Colombian Red Howler Monkey, Colombian Red Howling Monkey"
Mammalia,Alouatta ululata,"Maranhão Red-handed Howler Monkey, Red-handed Howling Monkey"
Mammalia,Alticola albicaudus,White-tailed Mountain Vole
Mammalia,Alticola argentatus,Silver Mountain Vole
Mammalia,Alticola barakshin,Gobi Altai Mountain Vole
Mammalia,Alticola lemminus,Lemming Vole
Mammalia,Alticola macrotis,Large-eared Vole
Mammalia,Alticola montosa,"Central Kashmir Vole, Trueâ€™s Vole"
Mammalia,Alticola olchonensis,Olkhon Mountain Vole
Mammalia,Alticola roylei,Royle's Mountain Vole
Mammalia,Alticola semicanus,"Mongolian Silver Vole, Royleâ€™s Mountain Vole"
Mammalia,Alticola stoliczkanus,Stoliczka's Mountain Vole
Mammalia,Alticola strelzowi,Flat-headed Vole
Mammalia,Alticola tuvinicus,Tuva Silver Vole
Mammalia,Amblysomus corriae,Fynbos Golden Mole
Mammalia,Amblysomus hottentotus,"Hottentot Golden Mole, Zulu Golden Mole"
Mammalia,Amblysomus marleyi,Marley's Golden Mole
Mammalia,Amblysomus robustus,Robust Golden Mole
Mammalia,Amblysomus septentrionalis,Highveld Golden Mole
Mammalia,Ametrida centurio,Little White-shouldered Bat
Mammalia,Ammodillus imbellis,Ammodile
Mammalia,Ammodorcas clarkei,"Clarke's Gazelle, Dibatag"
Mammalia,Ammospermophilus harrisii,Harris's Antelope Squirrel
Mammalia,Ammospermophilus interpres,Texas Antelope Squirrel
Mammalia,Ammospermophilus leucurus,"White-tailed Antelope Sqirrel, White-tailed Antelope Squirrel"
Mammalia,Ammospermophilus nelsoni,"Nelson's Antelope Squirrel, San Joaquin Antelope Ground Squirrel, San Joaquin Antelope Squirrel"
Mammalia,Ammotragus lervia,"Aoudad, Barbary Sheep, Uaddan"
Mammalia,Amorphochilus schnablii,"Smokey Bat, Smoky Bat"
Mammalia,Amphinectomys savamis,
Mammalia,Anathana ellioti,"Madras Treeshrew, Madras Tree Shrew"
Mammalia,Andalgalomys olrogi,"Olrog's Chaco Mouse, Olrogâ€™s Pericote"
Mammalia,Andalgalomys pearsoni,Pearson's Chaco Mouse
Mammalia,Andinomys edax,Andean Mouse
Mammalia,Anisomys imitator,"Uneven-toothed Rat, Squirrel-toothed Rat"
Mammalia,Anomalurus beecrofti,"Beecroft's Flying Squirrel, Beecroft's Scaly-tailed Squirrel"
Mammalia,Anomalurus derbianus,"Derby's Flying Squirrel, Lord Derby's Flying Squirrel, Lord Derby's Scaly-tailed Squirrel"
Mammalia,Anomalurus pelii,"Pel's Flying Squirrel, Pel's Scaly-tailed Squirrel"
Mammalia,Anomalurus pusillus,Dwarf Scaly-tailed Squirrel
Mammalia,Anonymomys mindorensis,"Mindoro Forest Anonymomys, Mindoro Climbing Rat, Mindoro Rat"
Mammalia,Anotomys leander,"Aquatic Rat, Ecuador Fish-eating Rat, Fish-eating Rat"
Mammalia,Anoura caudifer,Tailed Tailless Bat
Mammalia,Anoura cultrata,Handley's Tailless Bat
Mammalia,Anoura fistulata,
Mammalia,Anoura geoffroyi,Geoffroy's Tailless Bat
Mammalia,Anoura latidens,Broad-toothed Tailless Bat
Mammalia,Anoura luismanueli,Luis Manuel's Tailless Bat
Mammalia,Anourosorex assamensis,Assam Mole Shrew
Mammalia,Anourosorex schmidi,Giant Mole Shrew
Mammalia,Anourosorex squamipes,"Mole-shrew, Chinese Short-tailed Shrew, Mole Shrew"
Mammalia,Anourosorex yamashinai,Taiwanese Mole Shrew
Mammalia,Antechinomys laniger,Kultarr
Mammalia,Antechinus adustus,"Rusty Antechinus, Tropical Antechinus"
Mammalia,Antechinus agilis,"Agile Antechinus, Normanby Antechinus"
Mammalia,Antechinus bellus,Fawn Antechinus
Mammalia,Antechinus flavipes,Yellow-footed Antechinus
Mammalia,Antechinus godmani,Atherton Antechinus
Mammalia,Antechinus leo,Cinnamon Antechinus
Mammalia,Antechinus minimus,Swamp Antechinus
Mammalia,Antechinus stuartii,Brown Antechinus
Mammalia,Antechinus subtropicus,Subtropical Antechinus
Mammalia,Antechinus swainsonii,Dusky Antechinus
Mammalia,Anthops ornatus,"Solomons Leaf-nosed Bat, Flower-faced Bat"
Mammalia,Antidorcas marsupialis,Springbok
Mammalia,Antilocapra americana,"Pronghorn, Mexican Pronghorn"
Mammalia,Antilope cervicapra,Blackbuck
Mammalia,Antrozous pallidus,Pallid Bat
Mammalia,Aonyx capensis,"African Clawless Otter, Cape Clawless Otter"
Mammalia,Aonyx cinerea,"Asian Small-clawed Otter, Oriental Small-clawed Otter, Small-clawed Otter"
Mammalia,Aonyx congicus,"Congo Clawless Otter, Cameroon Clawless Otter, Small-clawed Otter, Small-toothed Clawless Otter, Zaire Clawless Otter"
Mammalia,Aotus azarae,"Azaraâ€™s Night Monkey, Azara's Night Monkey"
Mammalia,Aotus azarae,Azaraâ€™s Night Monkey
Mammalia,Aotus azarae,Bolivian Night Monkey
Mammalia,Aotus azarae,Feline Night Monkey
Mammalia,Aotus brumbacki,Brumback's Night Monkey
Mammalia,Aotus griseimembra,"Grey-handed Night Monkey, Grey-legged Night Monkey"
Mammalia,Aotus jorgehernandezi,HernÃ¡ndez-camachoâ€™s Night Monkey
Mammalia,Aotus lemurinus,"Colombian Night Monkey, Lemurine Night Monkey"
Mammalia,Aotus miconax,"Andean Night Monkey, Mono Lechuza"
Mammalia,Aotus nancymaae,"Nancy Maâ€™s Night Monkey, Ma's Night Monkey, Peruvian Red-necked Owl Monkey"
Mammalia,Aotus nigriceps,"Black-headed Night Monkey, Peruvian Night Monkey"
Mammalia,Aotus trivirgatus,"Douroucouli, Night Monkey, Northern Night Monkey, Northern Owl Monkey, Owl Monkey"
Mammalia,Aotus vociferans,"Night Monkey, Noisy Night Monkey, Spix's Night Monkey, Spix's Owl Monkey"
Mammalia,Aotus zonalis,Panamanian Night Monkey
Mammalia,Aplodontia rufa,"Mountain Beaver, Point Arena Mountain Beaver, Sewellel"
Mammalia,Apodemus agrarius,Striped Field Mouse
Mammalia,Apodemus alpicola,Alpine Field Mouse
Mammalia,Apodemus argenteus,Small Japanese Field Mouse
Mammalia,Apodemus chevrieri,Chevrier's Field Mouse
Mammalia,Apodemus draco,South China Field Mouse
Mammalia,Apodemus epimelas,"Western Broad-toothed Field Mouse, WESTERN BROAD-TOOTHED FIELD MOUSE"
Mammalia,Apodemus flavicollis,Yellow-necked Field Mouse
Mammalia,Apodemus gurkha,"Himalayan Wood Mouse, Himalayan Field Mouse"
Mammalia,Apodemus hyrcanicus,"Hyrcanian Field Mouse, Caucasian Field Mouse, Caucasus Field Mouse, Talysh Field Mouse"
Mammalia,Apodemus latronum,"Large-eared Field Mouse, Sichuan Field Mouse"
Mammalia,Apodemus mystacinus,"Broad-toothed Field Mouse, Eastern Broad-toothed Field Mouse"
Mammalia,Apodemus pallipes,"Himalayan Field Mouse, Ward's Field Mouse"
Mammalia,Apodemus peninsulae,Korean Field Mouse
Mammalia,Apodemus ponticus,Black Sea Field Mouse
Mammalia,Apodemus rusiges,Kashmir Field Mouse
Mammalia,Apodemus semotus,Taiwan Field Mouse
Mammalia,Apodemus speciosus,Large Japanese Field Mouse
Mammalia,Apodemus sylvaticus,"Long-tailed Field Mouse, Wood Mouse"
Mammalia,Apodemus uralensis,"Herb Field Mouse, Pygmy Field Mouse, Ural Field Mouse"
Mammalia,Apodemus witherbyi,"Steppe Field Mouse, STEPPE FIELD MOUSE"
Mammalia,Apomys abrae,"Luzon Cordillera Apomys, Luzon Cordillera Forest Mouse"
Mammalia,Apomys camiguinensis,Camiguin Forest Mouse
Mammalia,Apomys datae,"Northern Luzon Apomys, Luzon Montane Forest Mouse"
Mammalia,Apomys gracilirostris,"Large Mindoro Apomys, Large Mindoro Forest Mouse"
Mammalia,Apomys hylocetes,"Mindanao Mossy Forest Apomys, Mt. Apo Forest Mouse"
Mammalia,Apomys insignis,"Mindanao Montane Forest Apomys, Mindanao Montane Forest Mouse"
Mammalia,Apomys littoralis,"Mindanao Lowland Apomys, Mindanao Lowland Forest Mouse"
Mammalia,Apomys microdon,"Small Luzon Apomys, Small Luzon Forest Mouse"
Mammalia,Apomys musculus,"Least Philippine Apomys, Least Forest Mouse"
Mammalia,Apomys sacobianus,"Long-nosed Luzon Apomys, Long-nosed Luzon Forest Mouse"
Mammalia,Aproteles bulmerae,Bulmer's Fruit Bat
Mammalia,Arabitragus jayakari,Arabian Tahr
Mammalia,Arborimus albipes,White-footed Vole
Mammalia,Arborimus longicaudus,Red Tree Vole
Mammalia,Arborimus pomo,"California Red Tree Mouse, Sonoma Tree Vole"
Mammalia,Archboldomys kalinga,Cordillera Shrew-mouse
Mammalia,Archboldomys luzonensis,"Isarog Shrew Mouse, Mt Isarog Shrew-mouse"
Mammalia,Archboldomys musseri,"Sierra Madre Shrew Mouse, Palanan Shrew-mouse"
Mammalia,Arctictis binturong,"Binturong, Bearcat, Palawan Binturong"
Mammalia,Arctocebus aureus,"Golden Angwantibo, Golden Potto"
Mammalia,Arctocebus calabarensis,"Calabar Angwantibo, Angwantibo, Golden Potto"
Mammalia,Arctocephalus australis,"South American Fur Seal, Southern Fur Seal"
Mammalia,Arctocephalus forsteri,"New Zealand Fur Seal, Antipodean Fur Seal, Australasian Fur Seal, Black Fur Seal, South Australian Fur Seal"
Mammalia,Arctocephalus galapagoensis,"Galápagos Fur Seal, Galapagos Islands Fur Seal"
Mammalia,Arctocephalus gazella,"Antarctic Fur Seal, Kerguelen Fur Seal"
Mammalia,Arctocephalus philippii,Juan Fernández Fur Seal
Mammalia,Arctocephalus pusillus,"Afro-Australian Fur Seal, Brown Fur Seal, Cape Fur Seal, South African Fur Seal"
Mammalia,Arctocephalus townsendi,"Guadalupe Fur Seal, Lower Californian Fur Seal"
Mammalia,Arctocephalus tropicalis,"Subantarctic Fur Seal, Amsterdam Island Fur Seal"
Mammalia,Arctogalidia trivirgata,"Small-toothed Palm Civet, Javan Small-toothed Palm Civet, Three-striped Palm Civet"
Mammalia,Arctonyx collaris,Hog Badger
Mammalia,Ardops nichollsi,Tree Bat
