class,scientific,english
Aves,Cyornis poliogenys,Pale-chinned Blue-flycatcher
Aves,Cyornis rubeculoides,Blue-throated Flycatcher
Aves,Cyornis caerulatus,Large-billed Blue-flycatcher
Aves,Melaenornis edolioides,Northern Black Flycatcher
Aves,Ficedula sapphira,Sapphire Flycatcher
Aves,Ficedula monileger,White-gorgeted Flycatcher
Aves,Ficedula mugimaki,Mugimaki Flycatcher
Aves,Ficedula rufigula,Rufous-throated Flycatcher
Aves,Melaenornis annamarulae,Nimba Flycatcher
Aves,Ficedula platenae,Palawan Flycatcher
Aves,Ficedula parva,Red-breasted Flycatcher
Aves,Melaenornis pammelaina,Southern Black Flycatcher
Aves,Ficedula nigrorufa,Black-and-rufous Flycatcher
Aves,Ficedula narcissina,Narcissus Flycatcher
Aves,Ficedula dumetoria,Rufous-chested Flycatcher
Aves,Melaenornis ardesiacus,Yellow-eyed Black Flycatcher
Aves,Hodgsonius phaenicuroides,White-bellied Redstart
Aves,Erythropygia leucophrys,Red-backed Scrub-robin
Aves,Erythropygia leucosticta,Forest Scrub-robin
Aves,Erythropygia paena,Kalahari Scrub-robin
Aves,Erythropygia quadrivirgata,Bearded Scrub-robin
Aves,Erythropygia signata,Brown Scrub-robin
Aves,Luscinia obscura,Black-throated Blue Robin
Aves,Luscinia pectardens,Firethroat
Aves,Luscinia pectoralis,White-tailed Rubythroat
Aves,Luscinia ruficeps,Rufous-headed Robin
Aves,Luscinia sibilans,Rufous-tailed Robin
Aves,Ficedula henrici,Damar Flycatcher
Aves,Erythropygia galactotes,Rufous-tailed Scrub-robin
Aves,Ficedula hypoleuca,European Pied Flycatcher
Aves,Ficedula albicollis,Collared Flycatcher
Aves,Ficedula basilanica,Little Slaty Flycatcher
Aves,Ficedula bonthaina,Lompobatang Flycatcher
Aves,Ficedula buruensis,Cinnamon-chested Flycatcher
Aves,Ficedula crypta,Cryptic Flycatcher
Aves,Ficedula disposita,Furtive Flycatcher
Aves,Ficedula harterti,Sumba Flycatcher
Aves,Ficedula semitorquata,Semi-collared Flycatcher
Aves,Ficedula hodgsonii,Slaty-backed Flycatcher
Aves,Ficedula hyperythra,Snowy-browed Flycatcher
Aves,Luscinia svecica,Bluethroat
Aves,Erythropygia barbata,Miombo Scrub-robin
Aves,Ficedula westermanni,Little Pied Flycatcher
Aves,Eumyias sordidus,Dull-blue Flycatcher
Aves,Eumyias thalassinus,Verditer Flycatcher
Aves,Fraseria cinerascens,White-browed Forest Flycatcher
Aves,Fraseria ocreata,African Forest Flycatcher
Aves,Grandala coelicolor,Grandala
Aves,Luscinia brunnea,Indian Blue Robin
Aves,Eumyias indigo,Indigo Flycatcher
Aves,Erythropygia coryphaeus,Karoo Scrub-robin
Aves,Eumyias albicaudatus,Nilgiri Flycatcher
Aves,Dioptrornis chocolatinus,Abyssinian Slaty Flycatcher
Aves,Luscinia megarhynchos,Common Nightingale
Aves,Ficedula albicilla,Taiga Flycatcher
Aves,Luscinia luscinia,Thrush Nightingale
Aves,Luscinia cyane,Siberian Blue Robin
Aves,Luscinia calliope,Siberian Rubythroat
Aves,Erythropygia hartlaubi,Brown-backed Scrub-robin
Aves,Dioptrornis brunneus,Angola Slaty Flycatcher
Aves,Dioptrornis fischeri,White-eyed Slaty Flycatcher
Aves,Enicurus immaculatus,Black-backed Forktail
Aves,Ficedula strophiata,Rufous-gorgeted Flycatcher
Aves,Ficedula subrubra,Kashmir Flycatcher
Aves,Ficedula superciliaris,Ultramarine Flycatcher
Aves,Ficedula timorensis,Black-banded Flycatcher
Aves,Ficedula tricolor,Slaty-blue Flycatcher
Aves,Ficedula zanthopygia,Yellow-rumped Flycatcher
Aves,Humblotia flavirostris,Grand Comoro Flycatcher
Aves,Erithacus akahige,Japanese Robin
Aves,Eumyias panayensis,Island Flycatcher
Aves,Erithacus rubecula,European Robin
Aves,Ficedula solitaris,Rufous-browed Flycatcher
Aves,Erithacus komadori,Ryukyu Robin
Aves,Irania gutturalis,White-throated Robin
Aves,Enicurus leschenaulti,White-crowned Forktail
Aves,Enicurus maculatus,Spotted Forktail
Aves,Enicurus ruficapillus,Chestnut-naped Forktail
Aves,Enicurus schistaceus,Slaty-backed Forktail
Aves,Enicurus scouleri,Little Forktail
Aves,Enicurus velatus,Sunda Forktail
Aves,Empidornis semipartitus,Silverbird
Aves,Nectarinia kilimensis,Bronze Sunbird
Aves,Nectarinia jugularis,Olive-backed Sunbird
Aves,Nectarinia lotenia,Long-billed Sunbird
Aves,Nectarinia johnstoni,Red-tufted Sunbird
Aves,Nectarinia johannae,Johanna's Sunbird
Aves,Nectarinia hunteri,Hunter's Sunbird
Aves,Nectarinia humbloti,Humblot's Sunbird
Aves,Nectarinia hartlaubii,Principe Sunbird
Aves,Nectarinia fusca,Dusky Sunbird
Aves,Nectarinia fuliginosa,Carmelite Sunbird
Aves,Nectarinia habessinica,Shining Sunbird
Aves,Nectarinia loveridgei,Loveridge's Sunbird
Aves,Nectarinia ludovicensis,Ludwig's Double-collared Sunbird
Aves,Nectarinia manoensis,Miombo Double-collared Sunbird
Aves,Nectarinia mariquensis,Mariqua Sunbird
Aves,Nectarinia mediocris,Eastern Double-collared Sunbird
Aves,Nectarinia minima,Crimson-backed Sunbird
Aves,Nectarinia minulla,Tiny Sunbird
Aves,Nectarinia moreaui,Moreau's Sunbird
Aves,Nectarinia nectarinioides,Black-bellied Sunbird
Aves,Nectarinia neergardi,Neergaard's Sunbird
Aves,Nectarinia fuelleborni,Olive-bellied Double-collared Sunbird
Aves,Nectarinia notata,Long-billed Green Sunbird
Aves,Nectarinia olivacea,Olive Sunbird
Aves,Nectarinia newtonii,Newton's Sunbird
Aves,Nectarinia bouvieri,Orange-tufted Sunbird
Aves,Nectarinia pulchella,Beautiful Sunbird
Aves,Nectarinia oritis,Cameroon Sunbird
Aves,Nectarinia adelberti,Buff-throated Sunbird
Aves,Nectarinia afra,Greater Double-collared Sunbird
Aves,Nectarinia alinae,Blue-headed Sunbird
Aves,Nectarinia amethystina,Amethyst Sunbird
Aves,Nectarinia asiatica,Purple Sunbird
Aves,Nectarinia aspasia,Black Sunbird
Aves,Nectarinia balfouri,Socotra Sunbird
Aves,Nectarinia bannermani,Bannerman's Sunbird
Aves,Nectarinia batesi,Bates's Sunbird
Aves,Nectarinia buettikoferi,Apricot-breasted Sunbird
Aves,Nectarinia bocagii,Bocage's Sunbird
Aves,Nectarinia famosa,Malachite Sunbird
Aves,Nectarinia calcostetha,Copper-throated Sunbird
Aves,Nectarinia chalcomelas,Violet-breasted Sunbird
Aves,Nectarinia chalybea,Southern Double-collared Sunbird
Aves,Nectarinia chloropygia,Olive-bellied Sunbird
Aves,Nectarinia coccinigaster,Splendid Sunbird
Aves,Nectarinia comorensis,Anjouan Sunbird
Aves,Nectarinia congensis,Congo Sunbird
Aves,Nectarinia coquerellii,Mayotte Sunbird
Aves,Nectarinia cuprea,Copper Sunbird
Aves,Nectarinia cyanolaema,Blue-throated Brown Sunbird
Aves,Nectarinia dussumieri,Seychelles Sunbird
Aves,Nectarinia erythrocerca,Red-chested Sunbird
Aves,Nectarinia bifasciata,Purple-banded Sunbird
Aves,Nectarinia ursulae,Ursula's Sunbird
Aves,Nectarinia osea,Palestine Sunbird
Aves,Nectarinia pembae,Pemba Sunbird
Aves,Nectarinia zeylonica,Purple-rumped Sunbird
Aves,Nectarinia violacea,Orange-breasted Sunbird
Aves,Nectarinia verticalis,Green-headed Sunbird
Aves,Nectarinia venusta,Variable Sunbird
Aves,Nectarinia tsavoensis,Tsavo Sunbird
Aves,Nectarinia thomensis,Giant Sunbird
Aves,Nectarinia talatala,White-breasted Sunbird
Aves,Nectarinia tacazze,Tacazze Sunbird
Aves,Nectarinia superba,Superb Sunbird
Aves,Nectarinia stuhlmanni,Ruwenzori Double-collared Sunbird
Aves,Nectarinia sperata,Purple-throated Sunbird
Aves,Nectarinia sovimanga,Souimanga Sunbird
Aves,Nectarinia oustaleti,Oustalet's Sunbird
Aves,Nectarinia veroxii,Mouse-coloured Sunbird
Aves,Nectarinia solaris,Flame-breasted Sunbird
Aves,Nectarinia preussi,Northern Double-collared Sunbird
Aves,Nectarinia regia,Regal Sunbird
Aves,Nectarinia reichenbachii,Reichenbach's Sunbird
Aves,Nectarinia reichenowi,Golden-winged Sunbird
Aves,Nectarinia rockefelleri,Rockefeller's Sunbird
Aves,Nectarinia rubescens,Green-throated Sunbird
Aves,Nectarinia rufipennis,Rufous-winged Sunbird
Aves,Nectarinia seimundi,Little Green Sunbird
Aves,Nectarinia senegalensis,Scarlet-chested Sunbird
Aves,Nectarinia shelleyi,Shelley's Sunbird
Aves,Nectarinia purpureiventris,Purple-breasted Sunbird
Aves,Anthreptes fraseri,Scarlet-tufted Sunbird
Aves,Anthreptes gabonicus,Mouse-brown Sunbird
Aves,Anthreptes longuemarei,Western Violet-backed Sunbird
Aves,Anthreptes metallicus,Nile Valley Sunbird
Aves,Anthreptes neglectus,Uluguru Violet-backed Sunbird
Aves,Anthreptes orientalis,Kenya Violet-backed Sunbird
Aves,Anthreptes pallidigaster,Amani Sunbird
Aves,Arachnothera robusta,Long-billed Spiderhunter
Aves,Arachnothera magna,Streaked Spiderhunter
Aves,Arachnothera longirostra,Little Spiderhunter
Aves,Anthreptes malacensis,Plain-throated Sunbird
Aves,Aethopyga primigenia,Grey-hooded Sunbird
Aves,Arachnothera clarae,Naked-faced Spiderhunter
Aves,Arachnothera juliae,Whitehead's Spiderhunter
Aves,Aethopyga eximia,White-flanked Sunbird
Aves,Aethopyga duyvenbodei,Elegant Sunbird
Aves,Aethopyga flagrans,Flaming Sunbird
Aves,Aethopyga gouldiae,Gould's Sunbird
Aves,Aethopyga ignicauda,Fire-tailed Sunbird
Aves,Aethopyga linaraborae,Lina's Sunbird
Aves,Anthreptes anchietae,Anchieta's Sunbird
Aves,Aethopyga nipalensis,Green-tailed Sunbird
Aves,Anthreptes collaris,Collared Sunbird
Aves,Aethopyga christinae,Fork-tailed Sunbird
Aves,Aethopyga pulcherrima,Metallic-winged Sunbird
Aves,Aethopyga saturata,Black-throated Sunbird
Aves,Aethopyga shelleyi,Lovely Sunbird
Aves,Aethopyga siparaja,Crimson Sunbird
Aves,Aethopyga boltoni,Apo Sunbird
Aves,Aethopyga bella,Handsome Sunbird
Aves,Anthreptes rectirostris,Green Sunbird
Aves,Anthreptes aurantium,Violet-tailed Sunbird
Aves,Aethopyga mystacalis,Scarlet Sunbird
Aves,Arachnothera flavigaster,Spectacled Spiderhunter
Aves,Anthreptes singalensis,Ruby-cheeked Sunbird
Aves,Anthreptes simplex,Plain Sunbird
Aves,Anthreptes platurus,Pygmy Sunbird
Aves,Anthreptes rubritorques,Banded Sunbird
Aves,Anthreptes reichenowi,Plain-backed Sunbird
Aves,Arachnothera everetti,Bornean Spiderhunter
Aves,Arachnothera affinis,Grey-breasted Spiderhunter
Aves,Arachnothera chrysogenys,Yellow-eared Spiderhunter
Aves,Anthreptes rhodolaemus,Red-throated Sunbird
Aves,Arachnothera crassirostris,Thick-billed Spiderhunter
Aves,Hypogramma hypogrammicum,Purple-naped Sunbird
Aves,Nigrita canicapillus,Grey-headed Negrofinch
Aves,Nesocharis shelleyi,Fernando Po Oliveback
Aves,Pytilia hypogrammica,Red-faced Pytilia
Aves,Pyrenestes ostrinus,Black-bellied Seedcracker
Aves,Pyrenestes minor,Lesser Seedcracker
Aves,Nigrita bicolor,Chestnut-breasted Negrofinch
Aves,Oreostruthus fuliginosus,Mountain Firetail
Aves,Pytilia afra,Orange-winged Pytilia
Aves,Pytilia lineata,Red-billed Pytilia
Aves,Pytilia melba,Green-winged Pytilia
Aves,Pytilia phoenicoptera,Red-winged Pytilia
Aves,Padda fuscata,Timor Sparrow
Aves,Padda oryzivora,Java Sparrow
Aves,Nesocharis capistrata,White-cheeked Oliveback
Aves,Parmoptila jamesoni,Jameson's Antpecker
Aves,Parmoptila rubrifrons,Red-fronted Antpecker
Aves,Nigrita fusconotus,White-breasted Negrofinch
Aves,Poephila personata,Masked Finch
Aves,Nesocharis ansorgei,White-collared Oliveback
Aves,Parmoptila woodhousei,Woodhouse's Antpecker
Aves,Ortygospiza atricollis,Quailfinch
Aves,Ortygospiza fuscocrissa,African Quail-Finch
Aves,Ortygospiza gabonensis,Black-chinned Quail-Finch
Aves,Ortygospiza locustella,Locust Finch
Aves,Neochmia ruficauda,Star Finch
Aves,Neochmia phaeton,Crimson Finch
Aves,Neochmia modesta,Plum-headed Finch
Aves,Neochmia temporalis,Red-browed Finch
Aves,Poephila cincta,Black-throated Finch
Aves,Poephila acuticauda,Long-tailed Finch
Aves,Nigrita luteifrons,Pale-fronted Negrofinch
Aves,Pyrenestes sanguineus,Crimson Seedcracker
Aves,Uraeginthus ianthinogaster,Purple Grenadier
Aves,Spermophaga ruficapilla,Red-headed Bluebill
Aves,Spermophaga haematina,Western Bluebill
Aves,Stagonopleura bella,Beautiful Firetail
Aves,Stagonopleura guttata,Diamond Firetail
Aves,Stagonopleura oculata,Red-eared Firetail
Aves,Uraeginthus angolensis,Blue-breasted Cordonbleu
Aves,Uraeginthus bengalus,Red-cheeked Cordonbleu
Aves,Uraeginthus granatinus,Common Grenadier
Aves,Taeniopygia bichenovii,Double-barred Finch
Aves,Taeniopygia guttata,Zebra Finch
Aves,Spermophaga poliogenys,Grant's Bluebill
Aves,Uraeginthus cyanocephalus,Blue-capped Cordonbleu
Aves,Amandava formosa,Green Avadavat
Aves,Cryptospiza reichenovii,Red-faced Crimson-wing
Aves,Cryptospiza salvadorii,Abyssinian Crimson-wing
Aves,Cryptospiza shelleyi,Shelley's Crimson-wing
Aves,Amadina fasciata,Cut-throat
Aves,Amandava subflava,Zebra Waxbill
Aves,Amadina erythrocephala,Red-headed Finch
Aves,Cryptospiza jacksoni,Dusky Crimson-wing
Aves,Clytospiza monteiri,Brown Twinspot
Aves,Amandava amandava,Red Avadavat
Aves,Lagonosticta rubricata,African Firefinch
Aves,Lagonosticta virata,Mali Firefinch
Aves,Lagonosticta umbrinodorsalis,Chad Firefinch
Aves,Lagonosticta senegala,Red-billed Firefinch
Aves,Lagonosticta rufopicta,Bar-breasted Firefinch
Aves,Lagonosticta rhodopareia,Jameson's Firefinch
Aves,Lagonosticta rara,Black-bellied Firefinch
Aves,Lagonosticta nitidula,Brown Firefinch
Aves,Lagonosticta larvata,Black-throated Firefinch
Aves,Lagonosticta landanae,Pale-billed Firefinch
Aves,Emblema pictum,Painted Finch
Aves,Erythrura pealii,Fiji Parrotfinch
Aves,Hypargos margaritatus,Pink-throated Twinspot
Aves,Hypargos niveoguttatus,Peters's Twinspot
Aves,Lagonosticta sanguinodorsalis,Rock Firefinch
Aves,Lonchura ferruginosa,White-capped Munia
Aves,Lonchura spectabilis,Hooded Munia
Aves,Lonchura striata,White-rumped Munia
Aves,Lonchura vana,Grey-banded Munia
Aves,Lonchura tristissima,Streak-headed Munia
Aves,Lonchura teerinki,Black-breasted Munia
Aves,Lonchura stygia,Black Munia
Aves,Lonchura nana,Madagascar Munia
Aves,Erythrura coloria,Red-eared Parrotfinch
Aves,Lonchura castaneothorax,Chestnut-breasted Munia
Aves,Lonchura nevermanni,Grey-crowned Munia
Aves,Lonchura monticola,Alpine Munia
Aves,Mandingoa nitidula,Green-backed Twinspot
Aves,Lonchura atricapilla,Chestnut Munia
Aves,Lonchura bicolor,Black-and-white Munia
Aves,Lonchura caniceps,Grey-headed Munia
Aves,Lonchura nigerrima,New Hanover Munia
Aves,Lonchura nigriceps,Brown-backed Munia
Aves,Lonchura pallida,Pale-headed Munia
Aves,Lonchura cucullata,Bronze Munia
Aves,Lonchura montana,Snow Mountain Munia
Aves,Lonchura leucogastra,White-bellied Munia
Aves,Lonchura molucca,Black-faced Munia
Aves,Lonchura melaena,Bismarck Munia
Aves,Lonchura malacca,Tricoloured Munia
Aves,Lonchura malabarica,White-throated Munia
Aves,Lonchura maja,White-headed Munia
Aves,Euschistospiza dybowskii,Dybowski's Twinspot
Aves,Euschistospiza cinereovinacea,Dusky Twinspot
Aves,Heteromunia pectoralis,Pictorella Munia
Aves,Lonchura quinticolor,Five-coloured Munia
Aves,Lonchura leucogastroides,Javan Munia
Aves,Lonchura punctulata,Scaly-breasted Munia
Aves,Lonchura kelaarti,Black-throated Munia
Aves,Lonchura hunsteini,Mottled Munia
Aves,Lonchura griseicapilla,Grey-headed Silverbill
Aves,Lonchura grandis,Grand Munia
Aves,Lonchura fuscans,Dusky Munia
Aves,Lonchura fringilloides,Magpie Munia
Aves,Lonchura forbesi,New Ireland Munia
Aves,Lonchura flaviprymna,Yellow-rumped Munia
Aves,Erythrura kleinschmidti,Pink-billed Parrotfinch
Aves,Lonchura leucosticta,White-spotted Munia
Aves,Estrilda troglodytes,Black-rumped Waxbill
Aves,Estrilda kandti,Kandt's Waxbill
Aves,Estrilda astrild,Common Waxbill
Aves,Lonchura cantans,African Silverbill
Aves,Estrilda charmosyna,Red-rumped Waxbill
Aves,Estrilda nonnula,Black-crowned Waxbill
Aves,Erythrura viridifacies,Green-faced Parrotfinch
Aves,Estrilda perreini,Black-tailed Waxbill
Aves,Estrilda atricapilla,Black-headed Waxbill
Aves,Estrilda poliopareia,Anambra Waxbill
Aves,Estrilda thomensis,Cinderella Waxbill
Aves,Estrilda rufibarba,Arabian Waxbill
Aves,Estrilda rhodopyga,Crimson-rumped Waxbill
Aves,Estrilda quartinia,Yellow-bellied Waxbill
Aves,Estrilda erythronotos,Black-cheeked Waxbill
Aves,Estrilda paludicola,Fawn-breasted Waxbill
Aves,Estrilda melpoda,Orange-cheeked Waxbill
Aves,Estrilda caerulescens,Lavender Waxbill
Aves,Erythrura tricolor,Tricoloured Parrotfinch
Aves,Erythrura papuana,Papuan Parrotfinch
Aves,Erythrura gouldiae,Gouldian Finch
Aves,Erythrura prasina,Pin-tailed Parrotfinch
Aves,Erythrura hyperythra,Tawny-breasted Parrotfinch
Aves,Erythrura cyaneovirens,Red-headed Parrotfinch
Aves,Estrilda melanotis,Swee Waxbill
Aves,Erythrura psittacea,Red-throated Parrotfinch
Aves,Erythrura regia,Royal Parrotfinch
Aves,Erythrura trichroa,Blue-faced Parrotfinch
Aves,Estrilda nigriloris,Black-lored Waxbill
Aves,Motacilla aguimp,African Pied Wagtail
Aves,Motacilla samveasnae,Mekong Wagtail
Aves,Motacilla capensis,Cape Wagtail
Aves,Motacilla citreola,Citrine Wagtail
Aves,Motacilla alba,White Wagtail
Aves,Motacilla madaraspatensis,White-browed Wagtail
Aves,Motacilla grandis,Japanese Wagtail
Aves,Motacilla flaviventris,Madagascar Wagtail
Aves,Motacilla flava,Yellow Wagtail
Aves,Motacilla clara,Mountain Wagtail
Aves,Motacilla cinerea,Grey Wagtail
Aves,Tmetothylacus tenellus,Golden Pipit
Aves,Anthus rufulus,Paddyfield Pipit
Aves,Anthus rubescens,American Pipit
Aves,Anthus pallidiventris,Long-legged Pipit
Aves,Anthus similis,Long-billed Pipit
Aves,Anthus sokokensis,Sokoke Pipit
Aves,Anthus spinoletta,Water Pipit
Aves,Anthus spragueii,Sprague's Pipit
Aves,Anthus sylvanus,Upland Pipit
Aves,Anthus vaalensis,Buffy Pipit
Aves,Anthus roseatus,Rosy Pipit
Aves,Anthus lutescens,Yellowish Pipit
Aves,Anthus gutturalis,Alpine Pipit
Aves,Anthus hellmayri,Hellmayr's Pipit
Aves,Anthus hodgsoni,Olive-backed Pipit
Aves,Anthus hoeschi,Mountain Pipit
Aves,Anthus leucophrys,Plain-backed Pipit
Aves,Anthus pratensis,Meadow Pipit
Aves,Anthus longicaudatus,Long-tailed Pipit
Aves,Anthus richardi,Richard's Pipit
Aves,Anthus melindae,Malindi Pipit
Aves,Anthus nattereri,Ochre-breasted Pipit
Aves,Anthus nilghiriensis,Nilgiri Pipit
Aves,Anthus novaeseelandiae,Australasian Pipit
Aves,Anthus godlewskii,Blyth's Pipit
Aves,Anthus petrosus,Rock Pipit
Aves,Anthus lineiventris,Striped Pipit
Aves,Anthus berthelotii,Berthelot's Pipit
Aves,Anthus furcatus,Short-billed Pipit
Aves,Anthus gustavi,Pechora Pipit
Aves,Anthus trivialis,Tree Pipit
Aves,Anthus antarcticus,South Georgia Pipit
Aves,Anthus bogotensis,Paramo Pipit
Aves,Anthus brachyurus,Short-tailed Pipit
Aves,Anthus caffer,Bush Pipit
Aves,Anthus campestris,Tawny Pipit
Aves,Anthus cervinus,Red-throated Pipit
Aves,Anthus chacoensis,Pampas Pipit
Aves,Anthus chloris,Yellow-breasted Pipit
Aves,Anthus correndera,Correndera Pipit
Aves,Anthus crenatus,Yellow-tufted Pipit
Aves,Macronyx ameliae,Rosy-throated Longclaw
Aves,Macronyx croceus,Yellow-throated Longclaw
Aves,Macronyx fuellebornii,Fuelleborn's Longclaw
Aves,Macronyx grimwoodi,Grimwood's Longclaw
Aves,Macronyx capensis,Cape Longclaw
Aves,Dendronanthus indicus,Forest Wagtail
Aves,Macronyx sharpei,Sharpe's Longclaw
Aves,Macronyx aurantiigula,Pangani Longclaw
Aves,Macronyx flavicollis,Abyssinian Longclaw
Aves,Parula superciliosa,Crescent-chested Warbler
Aves,Mniotilta varia,Black-and-white Warbler
Aves,Oporornis tolmiei,MacGillivray's Warbler
Aves,Parula americana,Northern Parula
Aves,Oporornis philadelphia,Mourning Warbler
Aves,Parula pitiayumi,Tropical Parula
Aves,Protonotaria citrea,Prothonotary Warbler
Aves,Oporornis formosus,Kentucky Warbler
Aves,Oporornis agilis,Connecticut Warbler
Aves,Parula gutturalis,Flame-throated Warbler
Aves,Myioborus melanocephalus,Spectacled Redstart
Aves,Phaeothlypis rivularis,Neotropical River Warbler
Aves,Phaeothlypis fulvicauda,Buff-rumped Warbler
Aves,Myioborus torquatus,Collared Redstart
Aves,Myioborus pictus,Painted Redstart
Aves,Myioborus pariae,Paria Redstart
Aves,Myioborus ornatus,Golden-fronted Redstart
Aves,Myioborus miniatus,Slate-throated Redstart
Aves,Myioborus flavivertex,Yellow-crowned Redstart
Aves,Myioborus brunniceps,Brown-capped Redstart
Aves,Myioborus albifacies,White-faced Redstart
Aves,Myioborus albifrons,White-fronted Redstart
Aves,Myioborus castaneocapilla,Tepui Redstart
Aves,Myioborus cardonai,Saffron-breasted Redstart
Aves,Teretistris fornsi,Oriente Warbler
Aves,Wilsonia canadensis,Canada Warbler
Aves,Teretistris fernandinae,Yellow-headed Warbler
Aves,Vermivora virginiae,Virginia's Warbler
Aves,Wilsonia pusilla,Wilson's Warbler
Aves,Vermivora luciae,Lucy's Warbler
Aves,Vermivora crissalis,Colima Warbler
Aves,Vermivora peregrina,Tennessee Warbler
Aves,Vermivora ruficapilla,Nashville Warbler
Aves,Seiurus noveboracensis,Northern Waterthrush
Aves,Seiurus motacilla,Louisiana Waterthrush
Aves,Seiurus aurocapilla,Ovenbird
Aves,Vermivora bachmanii,Bachman's Warbler
Aves,Xenoligea montana,White-winged Warbler
Aves,Wilsonia citrina,Hooded Warbler
Aves,Vermivora chrysoptera,Golden-winged Warbler
Aves,Vermivora celata,Orange-crowned Warbler
Aves,Zeledonia coronata,Wrenthrush
Aves,Setophaga ruticilla,American Redstart
Aves,Vermivora pinus,Blue-winged Warbler
Aves,Basileuterus ignotus,Pirre Warbler
Aves,Basileuterus conspicillatus,White-lored Warbler
Aves,Basileuterus belli,Golden-browed Warbler
Aves,Basileuterus bivittatus,Two-banded Warbler
Aves,Basileuterus chlorophrys,Choco Warbler
Aves,Basileuterus chrysogaster,Golden-bellied Warbler
Aves,Basileuterus cinereicollis,Grey-throated Warbler
Aves,Basileuterus basilicus,Santa Marta Warbler
Aves,Basileuterus coronatus,Russet-crowned Warbler
Aves,Basileuterus culicivorus,Golden-crowned Warbler
Aves,Basileuterus flaveolus,Flavescent Warbler
Aves,Basileuterus fraseri,Grey-and-gold Warbler
Aves,Basileuterus hypoleucus,White-bellied Warbler
Aves,Basileuterus melanogenys,Black-cheeked Warbler
Aves,Basileuterus leucoblepharus,White-browed Warbler
Aves,Basileuterus leucophrys,White-striped Warbler
Aves,Basileuterus luteoviridis,Citrine Warbler
Aves,Basileuterus griseiceps,Grey-headed Warbler
Aves,Catharopeza bishopi,Whistling Warbler
Aves,Basileuterus rufifrons,Rufous-capped Warbler
Aves,Basileuterus signatus,Pale-legged Warbler
Aves,Basileuterus trifasciatus,Three-banded Warbler
Aves,Basileuterus tristriatus,Three-striped Warbler
Aves,Basileuterus nigrocristatus,Black-crested Warbler
Aves,Cardellina rubrifrons,Red-faced Warbler
Aves,Dendroica aestiva,American Yellow Warbler
Aves,Dendroica adelaidae,Adelaide's Warbler
Aves,Dendroica angelae,Elfin-woods Warbler
Aves,Dendroica delicata,St Lucia Warbler
Aves,Dendroica fusca,Blackburnian Warbler
Aves,Geothlypis velata,Southern Yellowthroat
Aves,Geothlypis trichas,Common Yellowthroat
Aves,Geothlypis speciosa,Black-polled Yellowthroat
Aves,Microligea palustris,Green-tailed Warbler
Aves,Geothlypis flavovelata,Altamira Yellowthroat
Aves,Ergaticus versicolor,Pink-headed Warbler
Aves,Dendroica coronata,Yellow-rumped Warbler
Aves,Leucopeza semperi,Semper's Warbler
Aves,Dendroica caerulescens,Black-throated Blue Warbler
Aves,Dendroica dominica,Yellow-throated Warbler
Aves,Dendroica discolor,Prairie Warbler
Aves,Dendroica graciae,Grace's Warbler
Aves,Dendroica chrysoparia,Golden-cheeked Warbler
Aves,Dendroica cerulea,Cerulean Warbler
Aves,Dendroica castanea,Bay-breasted Warbler
Aves,Ergaticus ruber,Red Warbler
Aves,Dendroica magnolia,Magnolia Warbler
Aves,Dendroica plumbea,Plumbeous Warbler
Aves,Geothlypis nelsoni,Hooded Yellowthroat
Aves,Dendroica townsendi,Townsend's Warbler
Aves,Dendroica tigrina,Cape May Warbler
Aves,Dendroica occidentalis,Hermit Warbler
Aves,Icteria virens,Yellow-breasted Chat
Aves,Geothlypis rostrata,Bahama Yellowthroat
Aves,Dendroica nigrescens,Black-throated Grey Warbler
Aves,Euthlypis lachrymosa,Fan-tailed Warbler
Aves,Dendroica pityophila,Olive-capped Warbler
Aves,Dendroica kirtlandii,Kirtland's Warbler
Aves,Geothlypis chiriquensis,Chiriqui Yellowthroat
Aves,Geothlypis beldingi,Belding's Yellowthroat
Aves,Dendroica subita,Barbuda Warbler
Aves,Dendroica striata,Blackpoll Warbler
Aves,Geothlypis semiflava,Olive-crowned Yellowthroat
Aves,Helmitheros vermivorum,Worm-eating Warbler
Aves,Limnothlypis swainsonii,Swainson's Warbler
Aves,Dendroica pinus,Pine Warbler
Aves,Dendroica pharetra,Arrowhead Warbler
Aves,Dendroica petechia,Yellow Warbler
Aves,Geothlypis aequinoctialis,Masked Yellowthroat
Aves,Geothlypis auricularis,Black-lored Yellowthroat
Aves,Dendroica vitellina,Vitelline Warbler
Aves,Geothlypis poliocephala,Grey-crowned Yellowthroat
Aves,Dendroica pensylvanica,Chestnut-sided Warbler
Aves,Dendroica virens,Black-throated Green Warbler
Aves,Dendroica palmarum,Palm Warbler
Aves,Polioptila plumbea,Tropical Gnatcatcher
Aves,Polioptila schistaceigula,Slate-throated Gnatcatcher
Aves,Polioptila caerulea,Blue-grey Gnatcatcher
Aves,Polioptila nigriceps,Black-capped Gnatcatcher
Aves,Polioptila albiloris,White-lored Gnatcatcher
Aves,Polioptila lactea,Creamy-bellied Gnatcatcher
Aves,Polioptila lembeyei,Cuban Gnatcatcher
Aves,Polioptila dumicola,Masked Gnatcatcher
Aves,Ramphocaenus melanurus,Long-billed Gnatwren
Aves,Polioptila melanura,Black-tailed Gnatcatcher
Aves,Polioptila californica,California Gnatcatcher
Aves,Polioptila clementsi,Iquitos Gnatcatcher
