id,string
acr-chinchi,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma bennettii""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma bennettii""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-chinch,"[""Ashy chinchilla rat:eng"", ""Abrocoma bennettii:sci"", ""Famatina chinchilla rat:eng"", ""Bennett chinchilla rat:eng"", ""Bolivian chinchilla rat:eng""]"
acr-chinch,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma bennettii""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma bennettii""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-chinc,"[""Ashy chinchilla rat:eng"", ""Bolivian chincilla rat:eng"", ""Famatina chinchilla rat:eng"", ""Bolivian chinchilla rat:eng"", ""Abrocoma bennettii:sci"", ""Bennett chinchilla rat:eng""]"
acr-chinc,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma bennettii""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma bennettii""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-abrocoma boliviensis,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-abrocoma boliviensis,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-boliviensis,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-boliviensis,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-boliviensi,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-boliviensi,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-boliviens,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-boliviens,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-bolivien,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-bolivien,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-bolivie,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-bolivie,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-bolivi,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-bolivi,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-boliv,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-boliv,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-boli,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-boli,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-bol,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-bol,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-bolivian chinchilla rat,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-bolivian chinchilla rat,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-bolivian,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-bolivian,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-bolivia,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-bolivia,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-bolivian chincilla rat,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-bolivian chincilla rat,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-chincilla,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-chincilla,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-chincill,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-chincill,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-chincil,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-chincil,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-chinci,"[""Abrocoma boliviensis:sci"", ""Bolivian chinchilla rat:eng"", ""Bolivian chincilla rat:eng""]"
acr-chinci,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma boliviensis""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma boliviensis""}]}"
acn-ashy chinchilla rat,"[""Ashy chinchilla rat:eng"", ""Abrocoma cinerea:sci""]"
acr-ashy chinchilla rat,"{""rows"": [{""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}]}"
acn-ashy,"[""Ashy chinchilla rat:eng"", ""Abrocoma cinerea:sci""]"
acr-ashy,"{""rows"": [{""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}]}"
acn-ash,"[""Ashy chinchilla rat:eng"", ""Abrocoma cinerea:sci""]"
acr-ash,"{""rows"": [{""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}]}"
acn-abrocoma cinerea,"[""Ashy chinchilla rat:eng"", ""Abrocoma cinerea:sci""]"
acr-abrocoma cinerea,"{""rows"": [{""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}]}"
acn-cinerea,"[""Ashy chinchilla rat:eng"", ""Abrocoma cinerea:sci""]"
acr-cinerea,"{""rows"": [{""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}]}"
acn-cinere,"[""Ashy chinchilla rat:eng"", ""Abrocoma cinerea:sci""]"
acr-cinere,"{""rows"": [{""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}]}"
acn-ciner,"[""Ashy chinchilla rat:eng"", ""Abrocoma cinerea:sci""]"
acr-ciner,"{""rows"": [{""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}]}"
acn-cine,"[""Ashy chinchilla rat:eng"", ""Abrocoma cinerea:sci""]"
acr-cine,"{""rows"": [{""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}]}"
acn-cin,"[""Ashy chinchilla rat:eng"", ""Abrocoma cinerea:sci""]"
acr-cin,"{""rows"": [{""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Abrocoma cinerea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma cinerea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abrocoma cinerea""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abrocoma cinerea""}]}"
acn-famatina chinchilla rat,"[""Famatina chinchilla rat:eng"", ""Abrocoma famatina:sci""]"
acr-famatina chinchilla rat,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-famatina,"[""Famatina chinchilla rat:eng"", ""Abrocoma famatina:sci""]"
acr-famatina,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-famatin,"[""Famatina chinchilla rat:eng"", ""Abrocoma famatina:sci""]"
acr-famatin,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-famati,"[""Famatina chinchilla rat:eng"", ""Abrocoma famatina:sci""]"
acr-famati,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-famat,"[""Famatina chinchilla rat:eng"", ""Abrocoma famatina:sci""]"
acr-famat,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-fama,"[""Famatina chinchilla rat:eng"", ""Abrocoma famatina:sci""]"
acr-fama,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-fam,"[""Famatina chinchilla rat:eng"", ""Abrocoma famatina:sci""]"
acr-fam,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-abrocoma famatina,"[""Famatina chinchilla rat:eng"", ""Abrocoma famatina:sci""]"
acr-abrocoma famatina,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abrocoma famatina""}]}"
acn-cope arboreal alligator lizard,"[""Cope arboreal alligator lizard:eng"", ""Abronia aurita:sci""]"
acr-cope arboreal alligator lizard,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia aurita""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia aurita""}]}"
acn-cope,"[""Cope arboreal alligator lizard:eng"", ""Abronia aurita:sci""]"
acr-cope,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia aurita""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia aurita""}]}"
acn-cop,"[""Cope arboreal alligator lizard:eng"", ""Abronia aurita:sci""]"
acr-cop,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia aurita""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia aurita""}]}"
acn-arboreal,"[""Mixtecan arboreal alligator lizard:eng"", ""Reid arboreal alligator lizard:eng"", ""Brilliant arboreal alligator lizard:eng"", ""Salvador arboreal alligator lizard:eng"", ""Montecristo arboreal alligator lizard:eng"", ""Oaxaca arboreal alligator lizard:eng"", ""Matuda arboreal alligator lizard:eng"", ""Northern chiapas arboreal alligator lizard:eng"", ""Terrestrial arboreal alligator lizard:eng"", ""Bromeliad arboreal alligator lizard:eng"", ""Chiszar arboreal alligator lizard:eng"", ""Smith arboreal alligator lizard:eng"", ""Red lipped arboreal alligator lizard:eng"", ""Cope arboreal alligator lizard:eng"", ""Smoothback arboreal alligator lizard:eng"", ""Mitchell arboreal alligator lizard:eng"", ""Bogert arboreal alligator lizard:eng"", ""Abronia aurita:sci""]"
acr-arboreal,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia aurita""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia aurita""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia bogerti""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia bogerti""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia chiszari""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia chiszari""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia gaiophantasma""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia graminea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia graminea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia leurolepis""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia lythrochila""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia lythrochila""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia matudai""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia matudai""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia mitchelli""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia mitchelli""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia mixteca""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia mixteca""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia montecristoi""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia oaxacae""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia oaxacae""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia ochoterenai""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia ochoterenai""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia reidi""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia reidi""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia salvadorensis""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia smithi""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia taeniata""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia taeniata""}]}"
acn-arborea,"[""Mixtecan arboreal alligator lizard:eng"", ""Reid arboreal alligator lizard:eng"", ""Brilliant arboreal alligator lizard:eng"", ""Salvador arboreal alligator lizard:eng"", ""Montecristo arboreal alligator lizard:eng"", ""Oaxaca arboreal alligator lizard:eng"", ""Matuda arboreal alligator lizard:eng"", ""Northern chiapas arboreal alligator lizard:eng"", ""Terrestrial arboreal alligator lizard:eng"", ""Bromeliad arboreal alligator lizard:eng"", ""Chiszar arboreal alligator lizard:eng"", ""Smith arboreal alligator lizard:eng"", ""Red lipped arboreal alligator lizard:eng"", ""Cope arboreal alligator lizard:eng"", ""Smoothback arboreal alligator lizard:eng"", ""Mitchell arboreal alligator lizard:eng"", ""Bogert arboreal alligator lizard:eng"", ""Abronia aurita:sci""]"
acr-arborea,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia aurita""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia aurita""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia bogerti""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia bogerti""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia chiszari""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia chiszari""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia gaiophantasma""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia graminea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia graminea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia leurolepis""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia lythrochila""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia lythrochila""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia matudai""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia matudai""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia mitchelli""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia mitchelli""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia mixteca""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia mixteca""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia montecristoi""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia oaxacae""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia oaxacae""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia ochoterenai""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia ochoterenai""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia reidi""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia reidi""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia salvadorensis""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia smithi""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia taeniata""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia taeniata""}]}"
acn-arbore,"[""Mixtecan arboreal alligator lizard:eng"", ""Reid arboreal alligator lizard:eng"", ""Brilliant arboreal alligator lizard:eng"", ""Salvador arboreal alligator lizard:eng"", ""Montecristo arboreal alligator lizard:eng"", ""Oaxaca arboreal alligator lizard:eng"", ""Matuda arboreal alligator lizard:eng"", ""Northern chiapas arboreal alligator lizard:eng"", ""Terrestrial arboreal alligator lizard:eng"", ""Bromeliad arboreal alligator lizard:eng"", ""Chiszar arboreal alligator lizard:eng"", ""Smith arboreal alligator lizard:eng"", ""Red lipped arboreal alligator lizard:eng"", ""Cope arboreal alligator lizard:eng"", ""Smoothback arboreal alligator lizard:eng"", ""Mitchell arboreal alligator lizard:eng"", ""Bogert arboreal alligator lizard:eng"", ""Abronia aurita:sci""]"
acr-arbore,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia aurita""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia aurita""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia bogerti""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia bogerti""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia chiszari""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia chiszari""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia gaiophantasma""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia graminea""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia graminea""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia leurolepis""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia lythrochila""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia lythrochila""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia matudai""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia matudai""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia mitchelli""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia mitchelli""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia mixteca""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia mixteca""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia montecristoi""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia oaxacae""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia oaxacae""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia ochoterenai""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia ochoterenai""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia reidi""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia reidi""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia salvadorensis""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia smithi""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia taeniata""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia taeniata""}]}"
