scientific,binomial,binomial_index,commons,commons_index,keywords,state,type
Pitohui dichrous,Pitohui dichrous,pitohui dichrous,Hooded Pitohui,hooded pitohui,"hooded,pitohui",,BINOMIAL
Colluricincla sanghirensis,Colluricincla sanghirensis,colluricincla sanghirensis,Sangihe Shrike-thrush,sangihe shrike thrush,"shrike,thrush,sangihe",,BINOMIAL
Colluricincla boweri,Colluricincla boweri,colluricincla boweri,Bower's Shrike-thrush,bower shrike thrush,"shrike,thrush,bower",,BINOMIAL
Colluricincla harmonica,Colluricincla harmonica,colluricincla harmonica,Grey Shrike-thrush,grey shrike thrush,"thrush,shrike,grey",,BINOMIAL
Colluricincla tenebrosa,Colluricincla tenebrosa,colluricincla tenebrosa,Morningbird,Morningbird,Morningbird,,BINOMIAL
Colluricincla umbrina,Colluricincla umbrina,colluricincla umbrina,Sooty Shrike-thrush,sooty shrike thrush,"thrush,shrike,sooty",,BINOMIAL
Colluricincla megarhyncha,Colluricincla megarhyncha,colluricincla megarhyncha,Little Shrike-thrush,little shrike thrush,"thrush,little,shrike",,BINOMIAL
Colluricincla woodwardi,Colluricincla woodwardi,colluricincla woodwardi,Sandstone Shrike-thrush,sandstone shrike thrush,"shrike,thrush,sandstone",,BINOMIAL
Chaetorhynchus papuensis,Chaetorhynchus papuensis,chaetorhynchus papuensis,Pygmy Drongo,pygmy drongo,"drongo,pygmy",,BINOMIAL
Dicrurus balicassius,Dicrurus balicassius,dicrurus balicassius,Balicassiao,Balicassiao,Balicassiao,,BINOMIAL
Dicrurus annectans,Dicrurus annectans,dicrurus annectans,Crow-billed Drongo,crow billed drongo,"crow,billed,drongo",,BINOMIAL
Dicrurus adsimilis,Dicrurus adsimilis,dicrurus adsimilis,Fork-tailed Drongo,fork tailed drongo,"fork,drongo,tailed",,BINOMIAL
Dicrurus aeneus,Dicrurus aeneus,dicrurus aeneus,Bronzed Drongo,bronzed drongo,"bronzed,drongo",,BINOMIAL
Dicrurus aldabranus,Dicrurus aldabranus,dicrurus aldabranus,Aldabra Drongo,aldabra drongo,"aldabra,drongo",,BINOMIAL
Dicrurus bracteatus,Dicrurus bracteatus,dicrurus bracteatus,Spangled Drongo,spangled drongo,"drongo,spangled",,BINOMIAL
Dicrurus atripennis,Dicrurus atripennis,dicrurus atripennis,Shining Drongo,shining drongo,"drongo,shining",,BINOMIAL
Dicrurus montanus,Dicrurus montanus,dicrurus montanus,Sulawesi Drongo,sulawesi drongo,"sulawesi,drongo",,BINOMIAL
Dicrurus hottentottus,Dicrurus hottentottus,dicrurus hottentottus,Hair-crested Drongo,hair crested drongo,"hair,crested,drongo",,BINOMIAL
Dicrurus sumatranus,Dicrurus sumatranus,dicrurus sumatranus,Sumatran Drongo,sumatran drongo,"sumatran,drongo",,BINOMIAL
Dicrurus remifer,Dicrurus remifer,dicrurus remifer,Lesser Racket-tailed Drongo,lesser racket tailed drongo,"lesser,racket,drongo,tailed",,BINOMIAL
Dicrurus paradiseus,Dicrurus paradiseus,dicrurus paradiseus,Greater Racket-tailed Drongo,greater racket tailed drongo,"racket,drongo,greater,tailed",,BINOMIAL
Dicrurus modestus,Dicrurus modestus,dicrurus modestus,Velvet-mantled Drongo,velvet mantled drongo,"mantled,velvet,drongo",,BINOMIAL
Dicrurus megarhynchus,Dicrurus megarhynchus,dicrurus megarhynchus,Ribbon-tailed Drongo,ribbon tailed drongo,"drongo,ribbon,tailed",,BINOMIAL
Dicrurus macrocercus,Dicrurus macrocercus,dicrurus macrocercus,Black Drongo,black drongo,"black,drongo",,BINOMIAL
Dicrurus ludwigii,Dicrurus ludwigii,dicrurus ludwigii,Square-tailed Drongo,square tailed drongo,"square,drongo,tailed",,BINOMIAL
Dicrurus leucophaeus,Dicrurus leucophaeus,dicrurus leucophaeus,Ashy Drongo,ashy drongo,"ashy,drongo",,BINOMIAL
Dicrurus andamanensis,Dicrurus andamanensis,dicrurus andamanensis,Andaman Drongo,andaman drongo,"andaman,drongo",,BINOMIAL
Dicrurus fuscipennis,Dicrurus fuscipennis,dicrurus fuscipennis,Grand Comoro Drongo,grand comoro drongo,"drongo,comoro,grand",,BINOMIAL
Dicrurus forficatus,Dicrurus forficatus,dicrurus forficatus,Crested Drongo,crested drongo,"crested,drongo",,BINOMIAL
Dicrurus densus,Dicrurus densus,dicrurus densus,Wallacean Drongo,wallacean drongo,"wallacean,drongo",,BINOMIAL
Dicrurus caerulescens,Dicrurus caerulescens,dicrurus caerulescens,White-bellied Drongo,white bellied drongo,"white,bellied,drongo",,BINOMIAL
Rhipidura brachyrhyncha,Rhipidura brachyrhyncha,rhipidura brachyrhyncha,Dimorphic Fantail,dimorphic fantail,"dimorphic,fantail",,BINOMIAL
Rhipidura albicollis,Rhipidura albicollis,rhipidura albicollis,White-throated Fantail,white throated fantail,"throated,white,fantail",,BINOMIAL
Rhipidura albolimbata,Rhipidura albolimbata,rhipidura albolimbata,Friendly Fantail,friendly fantail,"friendly,fantail",,BINOMIAL
Rhipidura atra,Rhipidura atra,rhipidura atra,Black Fantail,black fantail,"black,fantail",,BINOMIAL
Rhipidura drownei,Rhipidura drownei,rhipidura drownei,Brown Fantail,brown fantail,"brown,fantail",,BINOMIAL
Rhipidura aureola,Rhipidura aureola,rhipidura aureola,White-browed Fantail,white browed fantail,"white,fantail,browed",,BINOMIAL
Rhipidura semirubra,Rhipidura semirubra,rhipidura semirubra,Manus Fantail,manus fantail,"manus,fantail",,BINOMIAL
Rhipidura dedemi,Rhipidura dedemi,rhipidura dedemi,Streaky-breasted Fantail,streaky breasted fantail,"breasted,streaky,fantail",,BINOMIAL
Rhipidura personata,Rhipidura personata,rhipidura personata,Kadavu Fantail,kadavu fantail,"kadavu,fantail",,BINOMIAL
Rhipidura phasiana,Rhipidura phasiana,rhipidura phasiana,Mangrove Fantail,mangrove fantail,"mangrove,fantail",,BINOMIAL
Rhipidura phoenicura,Rhipidura phoenicura,rhipidura phoenicura,Rufous-tailed Fantail,rufous tailed fantail,"rufous,fantail,tailed",,BINOMIAL
Rhipidura rennelliana,Rhipidura rennelliana,rhipidura rennelliana,Rennell Fantail,rennell fantail,"rennell,fantail",,BINOMIAL
Rhipidura rufidorsa,Rhipidura rufidorsa,rhipidura rufidorsa,Rufous-backed Fantail,rufous backed fantail,"backed,rufous,fantail",,BINOMIAL
Rhipidura opistherythra,Rhipidura opistherythra,rhipidura opistherythra,Long-tailed Fantail,long tailed fantail,"fantail,long,tailed",,BINOMIAL
Rhipidura rufiventris,Rhipidura rufiventris,rhipidura rufiventris,Northern Fantail,northern fantail,"fantail,northern",,BINOMIAL
Rhipidura nigrocinnamomea,Rhipidura nigrocinnamomea,rhipidura nigrocinnamomea,Black-and-cinnamon Fantail,black and cinnamon fantail,"and,black,cinnamon,fantail",,BINOMIAL
Rhipidura superciliaris,Rhipidura superciliaris,rhipidura superciliaris,Blue Fantail,blue fantail,"blue,fantail",,BINOMIAL
Rhipidura superflua,Rhipidura superflua,rhipidura superflua,Tawny-backed Fantail,tawny backed fantail,"backed,fantail,tawny",,BINOMIAL
Rhipidura tenebrosa,Rhipidura tenebrosa,rhipidura tenebrosa,Dusky Fantail,dusky fantail,"dusky,fantail",,BINOMIAL
Rhipidura teysmanni,Rhipidura teysmanni,rhipidura teysmanni,Rusty-bellied Fantail,rusty bellied fantail,"rusty,bellied,fantail",,BINOMIAL
Rhipidura threnothorax,Rhipidura threnothorax,rhipidura threnothorax,Sooty Thicket-fantail,sooty thicket fantail,"thicket,sooty,fantail",,BINOMIAL
Rhipidura verreauxi,Rhipidura verreauxi,rhipidura verreauxi,Streaked Fantail,streaked fantail,"streaked,fantail",,BINOMIAL
Rhipidura rufifrons,Rhipidura rufifrons,rhipidura rufifrons,Rufous Fantail,rufous fantail,"rufous,fantail",,BINOMIAL
Rhipidura javanica,Rhipidura javanica,rhipidura javanica,Pied Fantail,pied fantail,"pied,fantail",,BINOMIAL
Rhipidura cyaniceps,Rhipidura cyaniceps,rhipidura cyaniceps,Blue-headed Fantail,blue headed fantail,"blue,fantail,headed",,BINOMIAL
Rhipidura dahli,Rhipidura dahli,rhipidura dahli,Bismarck Fantail,bismarck fantail,"bismarck,fantail",,BINOMIAL
Rhipidura diluta,Rhipidura diluta,rhipidura diluta,Brown-capped Fantail,brown capped fantail,"brown,capped,fantail",,BINOMIAL
Rhipidura leucothorax,Rhipidura leucothorax,rhipidura leucothorax,White-bellied Thicket-fantail,white bellied thicket fantail,"white,thicket,bellied,fantail",,BINOMIAL
Rhipidura euryura,Rhipidura euryura,rhipidura euryura,White-bellied Fantail,white bellied fantail,"white,bellied,fantail",,BINOMIAL
Rhipidura fuliginosa,Rhipidura fuliginosa,rhipidura fuliginosa,Grey Fantail,grey fantail,"grey,fantail",,BINOMIAL
Rhipidura perlata,Rhipidura perlata,rhipidura perlata,Spotted Fantail,spotted fantail,"spotted,fantail",,BINOMIAL
Rhipidura hyperythra,Rhipidura hyperythra,rhipidura hyperythra,Chestnut-bellied Fantail,chestnut bellied fantail,"chestnut,bellied,fantail",,BINOMIAL
Rhipidura cockerelli,Rhipidura cockerelli,rhipidura cockerelli,White-winged Fantail,white winged fantail,"winged,white,fantail",,BINOMIAL
Rhipidura kubaryi,Rhipidura kubaryi,rhipidura kubaryi,Pohnpei Fantail,pohnpei fantail,"pohnpei,fantail",,BINOMIAL
Rhipidura lepida,Rhipidura lepida,rhipidura lepida,Palau Fantail,palau fantail,"palau,fantail",,BINOMIAL
Rhipidura leucophrys,Rhipidura leucophrys,rhipidura leucophrys,Willie-wagtail,willie wagtail,"wagtail,willie",,BINOMIAL
Rhipidura maculipectus,Rhipidura maculipectus,rhipidura maculipectus,Black Thicket-fantail,black thicket fantail,"thicket,black,fantail",,BINOMIAL
Rhipidura matthiae,Rhipidura matthiae,rhipidura matthiae,Matthias Fantail,matthias fantail,"fantail,matthias",,BINOMIAL
Rhipidura nebulosa,Rhipidura nebulosa,rhipidura nebulosa,Samoan Fantail,samoan fantail,"samoan,fantail",,BINOMIAL
Rhipidura fuscorufa,Rhipidura fuscorufa,rhipidura fuscorufa,Cinnamon-tailed Fantail,cinnamon tailed fantail,"cinnamon,fantail,tailed",,BINOMIAL
Rhipidura malaitae,Rhipidura malaitae,rhipidura malaitae,Malaita Fantail,malaita fantail,"malaita,fantail",,BINOMIAL
Chelidorhynx hypoxantha,Chelidorhynx hypoxantha,chelidorhynx hypoxantha,Yellow-bellied Fantail,yellow bellied fantail,"bellied,fantail,yellow",,BINOMIAL
Monarcha everetti,Monarcha everetti,monarcha everetti,White-tipped Monarch,white tipped monarch,"monarch,white,tipped",,BINOMIAL
Myiagra caledonica,Myiagra caledonica,myiagra caledonica,Melanesian Flycatcher,melanesian flycatcher,"melanesian,flycatcher",,BINOMIAL
Pomarea nigra,Pomarea nigra,pomarea nigra,Tahiti Monarch,tahiti monarch,"monarch,tahiti",,BINOMIAL
Pomarea mendozae,Pomarea mendozae,pomarea mendozae,Marquesan Monarch,marquesan monarch,"monarch,marquesan",,BINOMIAL
Pomarea iphis,Pomarea iphis,pomarea iphis,Iphis Monarch,iphis monarch,"iphis,monarch",,BINOMIAL
Monarcha leucotis,Monarcha leucotis,monarcha leucotis,White-eared Monarch,white eared monarch,"monarch,white,eared",,BINOMIAL
Monarcha julianae,Monarcha julianae,monarcha julianae,Black-backed Monarch,black backed monarch,"backed,monarch,black",,BINOMIAL
Monarcha castaneiventris,Monarcha castaneiventris,monarcha castaneiventris,Chestnut-bellied Monarch,chestnut bellied monarch,"chestnut,monarch,bellied",,BINOMIAL
Monarcha castus,Monarcha castus,monarcha castus,Loetoe Monarch,loetoe monarch,"monarch,loetoe",,BINOMIAL
Monarcha chrysomela,Monarcha chrysomela,monarcha chrysomela,Golden Monarch,golden monarch,"golden,monarch",,BINOMIAL
Monarcha cinerascens,Monarcha cinerascens,monarcha cinerascens,Island Monarch,island monarch,"island,monarch",,BINOMIAL
Monarcha erythrostictus,Monarcha erythrostictus,monarcha erythrostictus,Bougainville Monarch,bougainville monarch,"bougainville,monarch",,BINOMIAL
Pomarea whitneyi,Pomarea whitneyi,pomarea whitneyi,Fatuhiva Monarch,fatuhiva monarch,"monarch,fatuhiva",,BINOMIAL
Monarcha guttula,Monarcha guttula,monarcha guttula,Spot-winged Monarch,spot winged monarch,"winged,monarch,spot",,BINOMIAL
Monarcha browni,Monarcha browni,monarcha browni,Kolombangara Monarch,kolombangara monarch,"monarch,kolombangara",,BINOMIAL
Pomarea dimidiata,Pomarea dimidiata,pomarea dimidiata,Rarotonga Monarch,rarotonga monarch,"rarotonga,monarch",,BINOMIAL
Myiagra atra,Myiagra atra,myiagra atra,Biak Flycatcher,biak flycatcher,"biak,flycatcher",,BINOMIAL
Myiagra galeata,Myiagra galeata,myiagra galeata,Dark-grey Flycatcher,dark grey flycatcher,"dark,grey,flycatcher",,BINOMIAL
Myiagra hebetior,Myiagra hebetior,myiagra hebetior,Dull Flycatcher,dull flycatcher,"dull,flycatcher",,BINOMIAL
Myiagra inquieta,Myiagra inquieta,myiagra inquieta,Restless Flycatcher,restless flycatcher,"restless,flycatcher",,BINOMIAL
Myiagra azureocapilla,Myiagra azureocapilla,myiagra azureocapilla,Blue-crested Flycatcher,blue crested flycatcher,"blue,crested,flycatcher",,BINOMIAL
Monarcha godeffroyi,Monarcha godeffroyi,monarcha godeffroyi,Yap Monarch,yap monarch,"monarch,yap",,BINOMIAL
Monarcha frater,Monarcha frater,monarcha frater,Black-winged Monarch,black winged monarch,"winged,monarch,black",,BINOMIAL
Myiagra erythrops,Myiagra erythrops,myiagra erythrops,Mangrove Flycatcher,mangrove flycatcher,"mangrove,flycatcher",,BINOMIAL
Myiagra cyanoleuca,Myiagra cyanoleuca,myiagra cyanoleuca,Satin Flycatcher,satin flycatcher,"satin,flycatcher",,BINOMIAL
Myiagra cervinicauda,Myiagra cervinicauda,myiagra cervinicauda,Makira Flycatcher,makira flycatcher,"makira,flycatcher",,BINOMIAL
Monarcha infelix,Monarcha infelix,monarcha infelix,Manus Monarch,manus monarch,"monarch,manus",,BINOMIAL
Monarcha rubiensis,Monarcha rubiensis,monarcha rubiensis,Rufous Monarch,rufous monarch,"monarch,rufous",,BINOMIAL
Myiagra albiventris,Myiagra albiventris,myiagra albiventris,Samoan Flycatcher,samoan flycatcher,"samoan,flycatcher",,BINOMIAL
Myiagra oceanica,Myiagra oceanica,myiagra oceanica,Oceanic Flycatcher,oceanic flycatcher,"oceanic,flycatcher",,BINOMIAL
Myiagra pluto,Myiagra pluto,myiagra pluto,Pohnpei Flycatcher,pohnpei flycatcher,"pohnpei,flycatcher",,BINOMIAL
Myiagra rubecula,Myiagra rubecula,myiagra rubecula,Leaden Flycatcher,leaden flycatcher,"leaden,flycatcher",,BINOMIAL
Myiagra ruficollis,Myiagra ruficollis,myiagra ruficollis,Broad-billed Flycatcher,broad billed flycatcher,"broad,billed,flycatcher",,BINOMIAL
Myiagra vanikorensis,Myiagra vanikorensis,myiagra vanikorensis,Vanikoro Flycatcher,vanikoro flycatcher,"vanikoro,flycatcher",,BINOMIAL
Myiagra alecto,Myiagra alecto,myiagra alecto,Shining Flycatcher,shining flycatcher,"flycatcher,shining",,BINOMIAL
Monarcha axillaris,Monarcha axillaris,monarcha axillaris,Black Monarch,black monarch,"monarch,black",,BINOMIAL
Monarcha viduus,Monarcha viduus,monarcha viduus,White-collared Monarch,white collared monarch,"collared,monarch,white",,BINOMIAL
Monarcha verticalis,Monarcha verticalis,monarcha verticalis,Black-tailed Monarch,black tailed monarch,"monarch,black,tailed",,BINOMIAL
Monarcha trivirgatus,Monarcha trivirgatus,monarcha trivirgatus,Spectacled Monarch,spectacled monarch,"monarch,spectacled",,BINOMIAL
Monarcha sacerdotum,Monarcha sacerdotum,monarcha sacerdotum,Flores Monarch,flores monarch,"monarch,flores",,BINOMIAL
Myiagra ferrocyanea,Myiagra ferrocyanea,myiagra ferrocyanea,Steel-blue Flycatcher,steel blue flycatcher,"steel,blue,flycatcher",,BINOMIAL
Monarcha melanopsis,Monarcha melanopsis,monarcha melanopsis,Black-faced Monarch,black faced monarch,"faced,monarch,black",,BINOMIAL
Monarcha brehmii,Monarcha brehmii,monarcha brehmii,Biak Monarch,biak monarch,"monarch,biak",,BINOMIAL
Monarcha boanensis,Monarcha boanensis,monarcha boanensis,Black-chinned Monarch,black chinned monarch,"monarch,black,chinned",,BINOMIAL
Monarcha leucurus,Monarcha leucurus,monarcha leucurus,White-tailed Monarch,white tailed monarch,"monarch,white,tailed",,BINOMIAL
Monarcha loricatus,Monarcha loricatus,monarcha loricatus,Black-tipped Monarch,black tipped monarch,"tipped,black,monarch",,BINOMIAL
Neolalage banksiana,Neolalage banksiana,neolalage banksiana,Buff-bellied Monarch,buff bellied monarch,"monarch,bellied,buff",,BINOMIAL
Monarcha takatsukasae,Monarcha takatsukasae,monarcha takatsukasae,Tinian Monarch,tinian monarch,"monarch,tinian",,BINOMIAL
Monarcha manadensis,Monarcha manadensis,monarcha manadensis,Hooded Monarch,hooded monarch,"monarch,hooded",,BINOMIAL
Monarcha barbatus,Monarcha barbatus,monarcha barbatus,Black-and-white Monarch,black and white monarch,"and,monarch,white,black",,BINOMIAL
Monarcha menckei,Monarcha menckei,monarcha menckei,White-breasted Monarch,white breasted monarch,"breasted,monarch,white",,BINOMIAL
Monarcha mundus,Monarcha mundus,monarcha mundus,Black-bibbed Monarch,black bibbed monarch,"monarch,bibbed,black",,BINOMIAL
Monarcha pileatus,Monarcha pileatus,monarcha pileatus,White-naped Monarch,white naped monarch,"monarch,white,naped",,BINOMIAL
Monarcha richardsii,Monarcha richardsii,monarcha richardsii,White-capped Monarch,white capped monarch,"monarch,white,capped",,BINOMIAL
Terpsiphone mutata,Terpsiphone mutata,terpsiphone mutata,Madagascar Paradise-flycatcher,madagascar paradise flycatcher,"madagascar,flycatcher,paradise",,BINOMIAL
Terpsiphone cinnamomea,Terpsiphone cinnamomea,terpsiphone cinnamomea,Rufous Paradise-flycatcher,rufous paradise flycatcher,"flycatcher,rufous,paradise",,BINOMIAL
Trochocercus cyanomelas,Trochocercus cyanomelas,trochocercus cyanomelas,African Crested-flycatcher,african crested flycatcher,"crested,flycatcher,african",,BINOMIAL
Terpsiphone viridis,Terpsiphone viridis,terpsiphone viridis,African Paradise-flycatcher,african paradise flycatcher,"flycatcher,paradise,african",,BINOMIAL
Terpsiphone smithii,Terpsiphone smithii,terpsiphone smithii,Annobon Paradise Flycatcher,annobon paradise flycatcher,"flycatcher,annobon,paradise",,BINOMIAL
Terpsiphone rufocinerea,Terpsiphone rufocinerea,terpsiphone rufocinerea,Rufous-vented Paradise-flycatcher,rufous vented paradise flycatcher,"vented,flycatcher,rufous,paradise",,BINOMIAL
Terpsiphone rufiventer,Terpsiphone rufiventer,terpsiphone rufiventer,Black-headed Paradise-flycatcher,black headed paradise flycatcher,"flycatcher,paradise,black,headed",,BINOMIAL
Terpsiphone paradisi,Terpsiphone paradisi,terpsiphone paradisi,Asian Paradise-flycatcher,asian paradise flycatcher,"flycatcher,asian,paradise",,BINOMIAL
Terpsiphone cyanescens,Terpsiphone cyanescens,terpsiphone cyanescens,Blue Paradise-flycatcher,blue paradise flycatcher,"blue,flycatcher,paradise",,BINOMIAL
Terpsiphone bourbonnensis,Terpsiphone bourbonnensis,terpsiphone bourbonnensis,Mascarene Paradise-flycatcher,mascarene paradise flycatcher,"mascarene,flycatcher,paradise",,BINOMIAL
Terpsiphone bedfordi,Terpsiphone bedfordi,terpsiphone bedfordi,Bedford's Paradise-flycatcher,bedford paradise flycatcher,"bedford,flycatcher,paradise",,BINOMIAL
Terpsiphone atrochalybeia,Terpsiphone atrochalybeia,terpsiphone atrochalybeia,Sao Tome Paradise-flycatcher,sao tome paradise flycatcher,"flycatcher,sao,tome,paradise",,BINOMIAL
Terpsiphone corvina,Terpsiphone corvina,terpsiphone corvina,Seychelles Paradise-flycatcher,seychelles paradise flycatcher,"flycatcher,seychelles,paradise",,BINOMIAL
Trochocercus nitens,Trochocercus nitens,trochocercus nitens,Blue-headed Crested-flycatcher,blue headed crested flycatcher,"blue,crested,flycatcher,headed",,BINOMIAL
Terpsiphone atrocaudata,Terpsiphone atrocaudata,terpsiphone atrocaudata,Japanese Paradise-flycatcher,japanese paradise flycatcher,"flycatcher,japanese,paradise",,BINOMIAL
Arses telescophthalmus,Arses telescophthalmus,arses telescophthalmus,Frilled Monarch,frilled monarch,"frilled,monarch",,BINOMIAL
Clytorhynchus vitiensis,Clytorhynchus vitiensis,clytorhynchus vitiensis,Fiji Shrikebill,fiji shrikebill,"fiji,shrikebill",,BINOMIAL
Clytorhynchus sanctaecrucis,Clytorhynchus sanctaecrucis,clytorhynchus sanctaecrucis,Santa Cruz Shrikebill,santa cruz shrikebill,"cruz,santa,shrikebill",,BINOMIAL
Clytorhynchus nigrogularis,Clytorhynchus nigrogularis,clytorhynchus nigrogularis,Black-throated Shrikebill,black throated shrikebill,"throated,black,shrikebill",,BINOMIAL
Clytorhynchus hamlini,Clytorhynchus hamlini,clytorhynchus hamlini,Rennell Shrikebill,rennell shrikebill,"rennell,shrikebill",,BINOMIAL
Chasiempis sandwichensis,Chasiempis sandwichensis,chasiempis sandwichensis,Elepaio,Elepaio,Elepaio,,BINOMIAL
Arses insularis,Arses insularis,arses insularis,Rufous-collared Monarch,rufous collared monarch,"collared,monarch,rufous",,BINOMIAL
Clytorhynchus pachycephaloides,Clytorhynchus pachycephaloides,clytorhynchus pachycephaloides,Southern Shrikebill,southern shrikebill,"southern,shrikebill",,BINOMIAL
Erythrocercus livingstonei,Erythrocercus livingstonei,erythrocercus livingstonei,Livingstone's Flycatcher,livingstone flycatcher,"livingstone,flycatcher",,BINOMIAL
Elminia albicauda,Elminia albicauda,elminia albicauda,White-tailed Blue-flycatcher,white tailed blue flycatcher,"blue,white,flycatcher,tailed",,BINOMIAL
Grallina cyanoleuca,Grallina cyanoleuca,grallina cyanoleuca,Magpie-lark,magpie lark,"lark,magpie",,BINOMIAL
Lamprolia victoriae,Lamprolia victoriae,lamprolia victoriae,Silktail,Silktail,Silktail,,BINOMIAL
Elminia longicauda,Elminia longicauda,elminia longicauda,African Blue-flycatcher,african blue flycatcher,"blue,flycatcher,african",,BINOMIAL
Eutrichomyias rowleyi,Eutrichomyias rowleyi,eutrichomyias rowleyi,Cerulean Paradise-flycatcher,cerulean paradise flycatcher,"flycatcher,paradise,cerulean",,BINOMIAL
Elminia nigromitrata,Elminia nigromitrata,elminia nigromitrata,Dusky Crested-flycatcher,dusky crested flycatcher,"crested,dusky,flycatcher",,BINOMIAL
Hypothymis helenae,Hypothymis helenae,hypothymis helenae,Short-crested Monarch,short crested monarch,"crested,short,monarch",,BINOMIAL
Erythrocercus holochlorus,Erythrocercus holochlorus,erythrocercus holochlorus,Yellow Flycatcher,yellow flycatcher,"yellow,flycatcher",,BINOMIAL
Elminia albonotata,Elminia albonotata,elminia albonotata,White-tailed Crested-flycatcher,white tailed crested flycatcher,"crested,white,flycatcher,tailed",,BINOMIAL
Mayrornis versicolor,Mayrornis versicolor,mayrornis versicolor,Ogea Monarch,ogea monarch,"monarch,ogea",,BINOMIAL
Hypothymis azurea,Hypothymis azurea,hypothymis azurea,Black-naped Monarch,black naped monarch,"monarch,naped,black",,BINOMIAL
Mayrornis schistaceus,Mayrornis schistaceus,mayrornis schistaceus,Vanikoro Monarch,vanikoro monarch,"monarch,vanikoro",,BINOMIAL
Elminia albiventris,Elminia albiventris,elminia albiventris,White-bellied Crested-flycatcher,white bellied crested flycatcher,"crested,white,bellied,flycatcher",,BINOMIAL
Erythrocercus mccallii,Erythrocercus mccallii,erythrocercus mccallii,Chestnut-capped Flycatcher,chestnut capped flycatcher,"chestnut,capped,flycatcher",,BINOMIAL
Mayrornis lessoni,Mayrornis lessoni,mayrornis lessoni,Slaty Monarch,slaty monarch,"monarch,slaty",,BINOMIAL
Metabolus rugensis,Metabolus rugensis,metabolus rugensis,Chuuk Monarch,chuuk monarch,"monarch,chuuk",,BINOMIAL
Grallina bruijni,Grallina bruijni,grallina bruijni,Torrent-lark,torrent lark,"lark,torrent",,BINOMIAL
Hypothymis coelestis,Hypothymis coelestis,hypothymis coelestis,Celestial Monarch,celestial monarch,"monarch,celestial",,BINOMIAL
Podoces pleskei,Podoces pleskei,podoces pleskei,Iranian Ground-jay,iranian ground jay,"jay,ground,iranian",,BINOMIAL
Ptilostomus afer,Ptilostomus afer,ptilostomus afer,Piapiac,Piapiac,Piapiac,,BINOMIAL
Platysmurus leucopterus,Platysmurus leucopterus,platysmurus leucopterus,Black Magpie,black magpie,"black,magpie",,BINOMIAL
Platylophus galericulatus,Platylophus galericulatus,platylophus galericulatus,Crested Jay,crested jay,"crested,jay",,BINOMIAL
Pyrrhocorax graculus,Pyrrhocorax graculus,pyrrhocorax graculus,Yellow-billed Chough,yellow billed chough,"billed,chough,yellow",,BINOMIAL
Perisoreus infaustus,Perisoreus infaustus,perisoreus infaustus,Siberian Jay,siberian jay,"siberian,jay",,BINOMIAL
Perisoreus canadensis,Perisoreus canadensis,perisoreus canadensis,Grey Jay,grey jay,"grey,jay",,BINOMIAL
Pica nuttalli,Pica nuttalli,pica nuttalli,Yellow-billed Magpie,yellow billed magpie,"billed,yellow,magpie",,BINOMIAL
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,pyrrhocorax pyrrhocorax,Red-billed Chough,red billed chough,"billed,chough,red",,BINOMIAL
Pica hudsonia,Pica hudsonia,pica hudsonia,Black-billed Magpie,black billed magpie,"billed,black,magpie",,BINOMIAL
Perisoreus internigrans,Perisoreus internigrans,perisoreus internigrans,Sichuan Jay,sichuan jay,"sichuan,jay",,BINOMIAL
Pica pica,Pica pica,pica pica,Black-billed Magpie,black billed magpie,"billed,black,magpie",,BINOMIAL
Nucifraga columbiana,Nucifraga columbiana,nucifraga columbiana,Clark's Nutcracker,clark nutcracker,"nutcracker,clark",,BINOMIAL
Nucifraga caryocatactes,Nucifraga caryocatactes,nucifraga caryocatactes,Spotted Nutcracker,spotted nutcracker,"spotted,nutcracker",,BINOMIAL
Podoces biddulphi,Podoces biddulphi,podoces biddulphi,Xinjiang Ground-jay,xinjiang ground jay,"xinjiang,jay,ground",,BINOMIAL
Podoces hendersoni,Podoces hendersoni,podoces hendersoni,Mongolian Ground-jay,mongolian ground jay,"jay,mongolian,ground",,BINOMIAL
Podoces panderi,Podoces panderi,podoces panderi,Turkestan Ground-jay,turkestan ground jay,"jay,turkestan,ground",,BINOMIAL
Urocissa flavirostris,Urocissa flavirostris,urocissa flavirostris,Gold-billed Magpie,gold billed magpie,"billed,gold,magpie",,BINOMIAL
Zavattariornis stresemanni,Zavattariornis stresemanni,zavattariornis stresemanni,Ethiopian Bush-crow,ethiopian bush crow,"crow,bush,ethiopian",,BINOMIAL
Urocissa erythrorhyncha,Urocissa erythrorhyncha,urocissa erythrorhyncha,Blue Magpie,blue magpie,"blue,magpie",,BINOMIAL
Urocissa caerulea,Urocissa caerulea,urocissa caerulea,Taiwan Magpie,taiwan magpie,"taiwan,magpie",,BINOMIAL
Urocissa whiteheadi,Urocissa whiteheadi,urocissa whiteheadi,White-winged Magpie,white winged magpie,"winged,white,magpie",,BINOMIAL
Temnurus temnurus,Temnurus temnurus,temnurus temnurus,Ratchet-tailed Treepie,ratchet tailed treepie,"treepie,ratchet,tailed",,BINOMIAL
Urocissa ornata,Urocissa ornata,urocissa ornata,Sri Lanka Magpie,sri lanka magpie,"sri,lanka,magpie",,BINOMIAL
Corvus albicollis,Corvus albicollis,corvus albicollis,White-necked Raven,white necked raven,"necked,white,raven",,BINOMIAL
