scientific,binomial,binomial_index,commons,commons_index,keywords,state,type
Mohoua albicilla,Mohoua albicilla,mohoua albicilla,Whitehead,Whitehead,Whitehead,,BINOMIAL
Nilaus afer,Nilaus afer,nilaus afer,Brubru,Brubru,Brubru,,BINOMIAL
Hylophilus brunneiceps,Hylophilus brunneiceps,hylophilus brunneiceps,Brown-headed Greenlet,brown headed greenlet,"brown,greenlet,headed",,BINOMIAL
Parus montanus,Parus montanus,parus montanus,Willow Tit,willow tit,"willow,tit",,BINOMIAL
Garrulax taewanus,Garrulax taewanus,garrulax taewanus,Taiwan Hwamei,taiwan hwamei,"taiwan,hwamei",,BINOMIAL
Muscicapa boehmi,Muscicapa boehmi,muscicapa boehmi,Boehm's Flycatcher,boehm flycatcher,"boehm,flycatcher",,BINOMIAL
Passer rutilans,Passer rutilans,passer rutilans,Russet Sparrow,russet sparrow,"russet,sparrow",,BINOMIAL
Carduelis pinus,Carduelis pinus,carduelis pinus,Pine Siskin,pine siskin,"siskin,pine",,BINOMIAL
Lanio versicolor,Lanio versicolor,lanio versicolor,White-winged Shrike-tanager,white winged shrike tanager,"winged,white,shrike,tanager",,BINOMIAL
Habia fuscicauda,Habia fuscicauda,habia fuscicauda,Red-throated Ant-tanager,red throated ant tanager,"ant,throated,red,tanager",,BINOMIAL
Corallus caninus,Corallus caninus,corallus caninus,"Emerald Tree Boa,Hundskopfschlinger","emerald tree boa,hundskopfschlinger","boa,hundskopfschlinger,tree,emerald",,BINOMIAL
Acanthocercus trachypleurus,,,,,,NO_COMMONS,
Tomistoma schlegelii,Tomistoma schlegelii,tomistoma schlegelii,"False gharial,Sunda Gavial,Falscher (oder Schlegels) Gavial,Sundagavial","sunda gavial,sundagavial,falscher oder schlegels gavial,false gharial","sundagavial,false,gavial,oder,sunda,falscher,gharial,schlegels",,BINOMIAL
Calotes chincollium,,,,,,NO_COMMONS,
Japalura yunnanensis,Japalura yunnanensis,japalura yunnanensis,Yunnan japalure,yunnan japalure,"japalure,yunnan",,BINOMIAL
Laudakia tuberculata,Laudakia tuberculata,laudakia tuberculata,Kashmir Rock Agama,kashmir rock agama,"agama,kashmir,rock",,BINOMIAL
Oriotaris dasi,,,,,,NO_COMMONS,
Phrynocephalus hongyuanensis,,,,,,NO_COMMONS,
Uromastyx leptieni,,,,,,NO_COMMONS,
Celestus agasepsoides,,,,,,NO_COMMONS,
Celestus marcanoi,Celestus marcanoi,celestus marcanoi,Marcano's Galliwasp,marcano galliwasp,"galliwasp,marcano",,BINOMIAL
Diploglossus monotropis,,,,,,NO_COMMONS,
Mesaspis juarezi,Mesaspis juarezi,mesaspis juarezi,Sierra Juarez Alligator Lizard,sierra juarez alligator lizard,"sierra,alligator,lizard,juarez",,BINOMIAL
Calumma glawi,,,,,,NO_COMMONS,
Chamaeleo chapini,Chamaeleo chapini,chamaeleo chapini,Gray Chameleon,gray chameleon,"gray,chameleon",,BINOMIAL
Furcifer angeli,,,,,,NO_COMMONS,
Ortalis canicollis,Ortalis canicollis,ortalis canicollis,Chaco Chachalaca,chaco chachalaca,"chachalaca,chaco",,BINOMIAL
Cordylus imkeae,Cordylus imkeae,cordylus imkeae,Rooiberg Girdled Lizard,rooiberg girdled lizard,"lizard,rooiberg,girdled",,BINOMIAL
Dibamus smithi,Dibamus smithi,dibamus smithi,Smith's Blind Skink,smith blind skink,"blind,smith,skink",,BINOMIAL
Carinatogecko aspratilis,Carinatogecko aspratilis,carinatogecko aspratilis,Iranian Gecko,iranian gecko,"gecko,iranian",,BINOMIAL
Cnemaspis goaensis,Cnemaspis goaensis,cnemaspis goaensis,Goan Day Gecko,goan day gecko,"gecko,day,goan",,BINOMIAL
Cyrtodactylus jarujini,Cyrtodactylus jarujini,cyrtodactylus jarujini,"Jarujin's Forest Gecko,Jarujins Bogenfingergecko","jarujins bogenfingergecko,jarujin forest gecko","gecko,jarujins,jarujin,forest,bogenfingergecko",,BINOMIAL
Cyrtodactylus aravallensis,,,,,,NO_COMMONS,
Cyrtodactylus wakeorum,,,,,,NO_COMMONS,
Cyrtopodion potoharensis,,,,,,NO_COMMONS,
Gekko athymus,Gekko athymus,gekko athymus,Brown's Gecko,brown gecko,"brown,gecko",,BINOMIAL
Cichlasoma trimaculatum,Cichlasoma trimaculatum,cichlasoma trimaculatum,Threespot Cichlid,threespot cichlid,"threespot,cichlid",,BINOMIAL
Lepidoblepharis conolepis,,,,,,NO_COMMONS,
Lepidoblepharis miyatai,,,,,,NO_COMMONS,
Lygodactylus decaryi,Lygodactylus decaryi,lygodactylus decaryi,Angel's Dwarf Gecko,angel dwarf gecko,"gecko,dwarf,angel",,BINOMIAL
Lygodactylus scorteccii,Lygodactylus scorteccii,lygodactylus scorteccii,Scortecci's Dwarf Gecko,scortecci dwarf gecko,"gecko,dwarf,scortecci",,BINOMIAL
Nephrurus stellatus,Nephrurus stellatus,nephrurus stellatus,"Stellate Knob-tail,Southern Knob-tailed Gecko","stellate knob tail,southern knob tailed gecko","knob,southern,tail,tailed,gecko,stellate",,BINOMIAL
Pachydactylus oculatus,Pachydactylus oculatus,pachydactylus oculatus,Inland Thick-toed Gecko,inland thick toed gecko,"inland,gecko,thick,toed",,BINOMIAL
Phelsuma robertmertensi,Phelsuma robertmertensi,phelsuma robertmertensi,Mertens' Day Gecko,mertens day gecko,"gecko,day,mertens",,BINOMIAL
Phyllodactylus nocticolus,Phyllodactylus nocticolus,phyllodactylus nocticolus,Peninsula Leaf-toed Gecko,peninsula leaf toed gecko,"peninsula,toed,leaf,gecko",,BINOMIAL
Phyllopezus periosus,Phyllopezus periosus,phyllopezus periosus,Peraiba Gecko,peraiba gecko,"gecko,peraiba",,BINOMIAL
Pristurus obsti,,,,,,NO_COMMONS,
Saltuarius wyberba,Saltuarius wyberba,saltuarius wyberba,Leaf-tailed Gecko,leaf tailed gecko,"gecko,leaf,tailed",,BINOMIAL
Sphaerodactylus nicholsi,Sphaerodactylus nicholsi,sphaerodactylus nicholsi,"Nichols Least Gecko,Nichol's dwarf sphaero","nichol dwarf sphaero,nichols least gecko","dwarf,nichol,least,nichols,sphaero,gecko",,BINOMIAL
Sphaerodactylus richardi,,,,,,NO_COMMONS,
Uroplatus henkeli,,,,,,NO_COMMONS,
Zonosaurus anelanelany,,,,,,NO_COMMONS,
Dionda sp.,,,,,,NO_COMMONS,
Colobosauroides carvalhoi,,,,,,NO_COMMONS,
Leposoma nanodactylus,,,,,,NO_COMMONS,
Proctoporus inanis,,,,,,NO_COMMONS,
Ptychoglossus gorgonae,,,,,,NO_COMMONS,
Morunasaurus peruvianus,,,,,,NO_COMMONS,
Ctenosaura oaxacana,,,,,,NO_COMMONS,
Lacerta mostoufii,,,,,,NO_COMMONS,
Sceloporus utiformis,Sceloporus utiformis,sceloporus utiformis,Cope's Largescale Spiny Lizard,cope largescale spiny lizard,"lizard,largescale,spiny,cope",,BINOMIAL
Herichthys bartoni,Herichthys bartoni,herichthys bartoni,Media Luna Cichlid,media luna cichlid,"media,luna,cichlid",,BINOMIAL
Mesalina bahaeldini,,,,,,NO_COMMONS,
Pedioplanis laticeps,,,,,,NO_COMMONS,
Pedioplanis rubens,Pedioplanis rubens,pedioplanis rubens,Ruben's Sand Lizard,ruben sand lizard,"sand,lizard,ruben",,BINOMIAL
Psammodromus blanci,Psammodromus blanci,psammodromus blanci,Blank's Psammodromus,blank psammodromus,"psammodromus,blank",,BINOMIAL
Timon princeps,Timon princeps,timon princeps,Zagrosian Lizard,zagrosian lizard,"lizard,zagrosian",,BINOMIAL
Phrynosoma platyrhinos,Phrynosoma platyrhinos,phrynosoma platyrhinos,"Desert Horned Lizard,lidiarum,Southern Desert Horned Lizard,platyrhinos,Northern Desert Horned Lizard,goodei,Sonoran Horned Lizard","northern desert horned lizard,sonoran horned lizard,southern desert horned lizard,desert horned lizard,platyrhinos,lidiarum,goodei","sonoran,northern,southern,platyrhinos,lizard,horned,lidiarum,desert,goodei",,BINOMIAL
Anolis koopmani,Anolis koopmani,anolis koopmani,Koopmans Anole,koopmans anole,"anole,koopmans",,BINOMIAL
Sceloporus smithi,Sceloporus smithi,sceloporus smithi,Smith's Rosebelly Lizard,smith rosebelly lizard,"lizard,smith,rosebelly",,BINOMIAL
Anolis adleri,,,,,,NO_COMMONS,
Anolis deltae,Anolis deltae,anolis deltae,Delta  Anole,delta anole,"anole,delta",,BINOMIAL
Anolis nigropunctatus,Anolis nigropunctatus,anolis nigropunctatus,Black-sporred Anole,black sporred anole,"sporred,anole,black",,BINOMIAL
